source,target,weight
166,1878,1.0
166,2991,1.0
166,3275,1.0
166,5022,1.0
166,5370,1.0
166,5494,1.0
166,5661,1.0
166,5698,1.0
167,225,1.0
167,518,1.0
167,551,1.0
167,834,1.0
167,1909,1.0
167,3190,1.0
167,3487,1.0
167,3532,1.0
167,3996,1.0
167,4304,1.0
167,4707,1.0
167,4863,1.0
167,5060,1.0
167,5316,1.0
168,1416,1.0
168,3084,1.0
168,3438,1.0
168,3725,1.0
168,4905,1.0
169,1149,1.0
169,1418,1.0
169,1503,1.0
169,2990,1.0
169,5323,1.0
169,5873,1.0
170,970,1.0
170,1394,1.0
170,1731,1.0
170,3210,1.0
170,3295,1.0
170,4396,1.0
170,5082,1.0
170,5110,1.0
170,5285,1.0
171,404,1.0
171,2227,1.0
171,2343,1.0
171,3528,1.0
171,4563,1.0
171,5276,1.0
172,488,1.0
172,3165,1.0
172,3879,1.0
172,4345,1.0
172,5269,1.0
172,5305,1.0
173,1581,1.0
173,2342,1.0
173,2731,1.0
173,2841,1.0
173,4757,1.0
173,4793,1.0
174,1843,1.0
174,2722,1.0
174,3408,1.0
174,3842,1.0
174,5298,1.0
175,282,1.0
175,426,1.0
175,1003,1.0
175,2008,1.0
175,2326,1.0
175,3485,1.0
175,3664,1.0
175,4301,1.0
175,5776,1.0
176,2069,1.0
176,2233,1.0
176,2762,1.0
176,3041,1.0
176,3657,1.0
176,5789,1.0
176,5827,1.0
177,234,1.0
177,556,1.0
177,627,1.0
177,1710,1.0
177,2642,1.0
177,4894,1.0
177,5643,1.0
178,577,1.0
178,1310,1.0
178,1678,1.0
178,3917,1.0
178,4686,1.0
178,5575,1.0
179,509,1.0
179,1110,1.0
179,4681,1.0
179,5369,1.0
179,5501,1.0
180,1298,1.0
180,4568,1.0
180,4788,1.0
180,4891,1.0
180,5612,1.0
181,268,1.0
181,1191,1.0
181,1547,1.0
181,5383,1.0
181,5710,1.0
181,5728,1.0
182,400,1.0
182,1329,1.0
182,1720,1.0
182,3307,1.0
182,3409,1.0
182,4090,1.0
182,5130,1.0
183,259,1.0
183,279,1.0
183,2615,1.0
183,2660,1.0
183,4959,1.0
184,195,1.0
184,249,1.0
184,314,1.0
184,511,1.0
184,2104,1.0
184,4871,1.0
185,1013,1.0
185,1114,1.0
185,1706,1.0
185,2235,1.0
185,2654,1.0
185,2819,1.0
185,3080,1.0
186,781,1.0
186,2937,1.0
186,3377,1.0
186,4543,1.0
186,5320,1.0
187,343,1.0
187,1272,1.0
187,1737,1.0
187,4425,1.0
187,4942,1.0
188,786,1.0
188,1428,1.0
188,1625,1.0
188,2736,1.0
188,3166,1.0
188,3536,1.0
188,3988,1.0
188,4021,1.0
188,4551,1.0
188,4653,1.0
188,4760,1.0
188,5490,1.0
189,1649,1.0
189,2361,1.0
189,3473,1.0
189,4143,1.0
189,5851,1.0
190,601,1.0
190,667,1.0
190,1813,1.0
190,3180,1.0
190,3252,1.0
190,3314,1.0
190,3791,1.0
190,5594,1.0
190,5740,1.0
191,1173,1.0
191,1313,1.0
191,2073,1.0
191,2629,1.0
191,3717,1.0
191,3853,1.0
191,3912,1.0
191,5301,1.0
192,505,1.0
192,1635,1.0
192,2265,1.0
192,3782,1.0
192,5416,1.0
193,939,1.0
193,3018,1.0
193,3206,1.0
193,3799,1.0
193,5131,1.0
194,302,1.0
194,582,1.0
194,859,1.0
194,908,1.0
194,978,1.0
194,1046,1.0
194,1348,1.0
194,1758,1.0
194,1916,1.0
194,2146,1.0
194,2743,1.0
194,3596,1.0
194,4206,1.0
194,4376,1.0
194,4430,1.0
194,4933,1.0
194,5309,1.0
194,5564,1.0
194,5743,1.0
195,1990,1.0
195,4041,1.0
195,4188,1.0
195,4983,1.0
195,5097,1.0
196,325,1.0
196,1421,1.0
196,1706,1.0
196,2654,1.0
196,3385,1.0
196,3841,1.0
196,3905,1.0
196,4198,1.0
196,4562,1.0
196,5054,1.0
196,5317,1.0
196,5433,1.0
196,5956,1.0
197,1464,1.0
197,2466,1.0
197,2547,1.0
197,4250,1.0
197,4463,1.0
197,4655,1.0
197,4720,1.0
197,5204,1.0
198,443,1.0
198,1136,1.0
198,1138,1.0
198,1271,1.0
198,2124,1.0
198,2658,1.0
198,2672,1.0
198,3255,1.0
198,4353,1.0
199,216,1.0
199,585,1.0
199,1576,1.0
199,2491,1.0
199,2732,1.0
199,3224,1.0
199,3788,1.0
199,4210,1.0
199,4957,1.0
200,584,1.0
200,3680,1.0
200,4194,1.0
200,4862,1.0
201,954,1.0
201,1507,1.0
201,2620,1.0
201,5281,1.0
201,5364,1.0
202,539,1.0
202,832,1.0
202,2186,1.0
202,2674,1.0
202,4440,1.0
203,636,1.0
203,1891,1.0
203,2122,1.0
203,3975,1.0
203,5208,1.0
203,5402,1.0
204,685,1.0
204,1085,1.0
204,1356,1.0
204,2074,1.0
204,2270,1.0
204,2358,1.0
204,2518,1.0
204,4177,1.0
204,4377,1.0
204,4792,1.0
205,441,1.0
205,984,1.0
205,1497,1.0
205,2110,1.0
205,3638,1.0
205,4072,1.0
206,1760,1.0
206,2664,1.0
206,3035,1.0
206,4750,1.0
206,4851,1.0
206,5793,1.0
207,771,1.0
207,1849,1.0
207,3031,1.0
207,4280,1.0
207,4397,1.0
207,4951,1.0
207,5533,1.0
208,4560,1.0
208,4694,1.0
208,4781,1.0
208,5519,1.0
209,1005,1.0
209,3347,1.0
209,3851,1.0
209,4994,1.0
209,5094,1.0
209,5336,1.0
210,1121,1.0
210,2267,1.0
210,3575,1.0
210,4128,1.0
210,5613,1.0
210,5943,1.0
211,2138,1.0
211,2805,1.0
211,3371,1.0
211,3692,1.0
211,4703,1.0
212,1457,1.0
212,2847,1.0
212,3499,1.0
212,4003,1.0
212,5520,1.0
213,475,1.0
213,1446,1.0
213,2596,1.0
213,3672,1.0
213,3886,1.0
214,347,1.0
214,569,1.0
214,4249,1.0
214,4700,1.0
215,2314,1.0
215,2599,1.0
215,2685,1.0
215,3331,1.0
215,3785,1.0
215,5347,1.0
216,464,1.0
216,1098,1.0
216,3043,1.0
216,4210,1.0
216,5217,1.0
217,504,1.0
217,510,1.0
217,823,1.0
217,2612,1.0
217,2993,1.0
217,3135,1.0
217,3369,1.0
217,3495,1.0
217,5750,1.0
218,2747,1.0
218,2868,1.0
218,4720,1.0
218,4947,1.0
218,5800,1.0
219,1819,1.0
219,2166,1.0
219,2521,1.0
219,2693,1.0
219,3545,1.0
219,5634,1.0
220,2881,1.0
220,3563,1.0
220,4474,1.0
220,4818,1.0
220,4875,1.0
221,425,1.0
221,444,1.0
221,811,1.0
221,2474,1.0
221,3253,1.0
222,812,1.0
222,996,1.0
222,2043,1.0
222,2238,1.0
222,3217,1.0
222,3602,1.0
222,3925,1.0
222,4259,1.0
222,4361,1.0
223,742,1.0
223,845,1.0
223,1298,1.0
